idroute,RouteName,SwitchId,CommonRoute,idPartner,NationalOrInternational,Description,Status,date1,field1,field2,field3,field4,field5,zone
3451,10.16.95.68:5060-10.251.0.10:5060,2,0,24,1,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3452,10.16.94.68:5066-10.251.0.10:5060,2,0,24,1,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3453,10.16.94.68:5064-10.251.0.10:5060,2,0,24,1,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3454,10.16.95.68:5062-10.251.0.10:5060,2,0,24,1,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3455,10.16.95.68:5068-10.251.0.9:5060,2,0,24,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3456,10.16.94.68:5070-10.251.0.9:5060,2,0,24,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3457,10.16.95.68:5072-10.251.0.8:5060,2,0,24,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3458,10.16.94.68:5074-10.251.0.8:5060,2,0,24,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3459,10.72.240.14:7000-10.72.192.11:5060,2,0,25,1,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3460,10.72.240.14:7001-10.72.192.9:5060,2,0,25,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3461,10.72.240.14:7002-10.72.192.7:5060,2,0,25,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3462,10.184.199.80:5060-10.235.0.10:5060,2,0,23,1,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3463,10.184.199.81:5060-10.235.0.8:5060,2,0,23,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3464,10.184.199.81:5060-10.235.0.6:5060,2,0,23,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3465,10.184.199.80:5060-10.235.0.11:5060,2,0,23,1,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3466,10.184.199.81:5060-10.235.0.9:5060,2,0,23,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3467,10.184.199.81:5061-10.235.0.7:5060,2,0,23,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3468,10.10.231.10:5060-10.253.0.10:5060,2,0,3,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3469,10.10.231.20:5060-10.253.0.10:5060,2,0,3,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3470,10.10.231.10:5060-10.253.0.9:5060,2,0,3,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3471,10.10.231.20:5060-10.253.0.9:5060,2,0,3,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3472,10.10.231.10:5061-10.253.0.8:5060,2,0,3,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3473,10.10.231.10:5062-10.253.0.7:5060,2,0,3,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3474,10.10.231.10:5063-10.253.0.6:5060,2,0,3,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3475,10.10.231.10:5064-10.253.0.5:5060,2,0,3,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3476,10.10.232.7:5060-10.253.0.10:5060,2,0,5,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3477,10.10.232.7:5060-10.253.0.9:5060,2,0,5,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3478,10.10.232.7:5060-10.253.0.8:5060,2,0,5,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3479,10.10.232.7:5060-10.253.0.7:5060,2,0,5,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3480,10.10.232.7:5060-10.253.0.6:5060,2,0,5,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3481,10.10.232.7:5060-10.253.0.5:5060,2,0,5,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3482,10.10.233.5:5060-10.253.0.10:5060,2,0,4,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3483,10.10.233.5:5060-10.253.0.9:5060,2,0,4,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3484,10.10.233.5:5060-10.253.0.8:5060,2,0,4,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3485,10.10.233.5:5060-10.253.0.7:5060,2,0,4,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3486,10.10.233.5:5060-10.253.0.6:5060,2,0,4,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3487,10.10.233.5:5060-10.253.0.5:5060,2,0,4,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3488,10.10.234.8:5060-10.253.0.10:5060,2,0,2,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3489,10.10.234.8:5060-10.253.0.9:5060,2,0,2,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3490,10.10.234.8:5060-10.253.0.8:5060,2,0,2,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3491,10.10.234.8:5060-10.253.0.7:5060,2,0,2,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3492,10.10.234.8:5060-10.253.0.6:5060,2,0,2,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3493,10.10.234.8:5060-10.253.0.5:5060,2,0,2,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3494,10.10.235.2:5060-10.253.0.10:5060,2,0,1,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3495,10.10.235.4:5060-10.253.0.10:5060,2,0,1,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3496,10.10.235.2:5060-10.253.0.9:5060,2,0,1,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3497,10.10.235.4:5060-10.253.0.9:5060,2,0,1,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3498,10.10.235.2:5060-10.253.0.8:5060,2,0,1,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3499,10.10.235.4:5060-10.253.0.8:5060,2,0,1,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3500,10.10.235.2:5060-10.253.0.7:5060,2,0,1,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3501,10.10.235.4:5060-10.253.0.7:5060,2,0,1,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3502,10.10.235.2:5060-10.253.0.6:5060,2,0,1,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3503,10.10.235.4:5060-10.253.0.6:5060,2,0,1,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3504,10.10.235.4:5060-10.253.0.5:5060,2,0,1,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3505,10.10.235.2:5060-10.253.0.5:5060,2,0,1,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3506,10.10.236.5:5060-10.253.0.10:5060,2,0,6,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3507,10.10.236.5:5060-10.253.0.9:5060,2,0,6,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3508,10.10.236.5:5060-10.253.0.8:5060,2,0,6,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3509,10.10.236.5:5060-10.253.0.7:5060,2,0,6,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3510,10.10.236.5:5060-10.253.0.6:5060,2,0,6,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3511,10.10.236.5:5060-10.253.0.5:5060,2,0,6,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3512,10.10.237.34:5060-10.253.0.10:5060,2,0,7,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3513,10.10.237.34:5060-10.253.0.9:5060,2,0,7,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3514,10.10.237.34:5060-10.253.0.8:5060,2,0,7,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3515,10.10.237.34:5060-10.253.0.7:5060,2,0,7,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3516,10.10.237.34:5060-10.253.0.6:5060,2,0,7,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
3517,10.10.237.34:5060-10.253.0.5:5060,2,0,7,2,,0,NULL,NULL,NULL,NULL,NULL,NULL,
